,atr
0,acetohexamide
1,glipizide_metformin
2,tolbutamide
3,tolazamide
4,miglitol
5,chlorpropamide
6,number_emergency
7,acarbose
8,nateglinide
9,glyburide_metformin
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,number_inpatient
16,pioglitazone
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_medications
23,num_procedures
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,insulin
29,gender
30,change
31,readmitted
32,citoglipton
33,examide
34,metformin_pioglitazone
35,metformin_rosiglitazone
36,glimepiride_pioglitazone
37,troglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
